factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
m5_volume_profile_std_5,5,0.3175653345039665,0.22122460151202156,-0.12619732155099275,0.21697613803267377,0.037667334077928834,0.029356481187990165,0.03684126425229989,0.029076287417823917,0.008310852889938668,0.8390625,0.22122460151202156
m5_morning_return_std_5,5,0.20324117913758855,0.21908420286322491,-0.07874918598810482,0.166712303251601,0.018347153576343526,0.013960333744984777,0.017517946884460574,0.013745029025834266,0.004386819831358749,0.8390625,0.21908420286322491
m5_large_up_count,10,0.16431777857207008,0.21861151058928538,-0.08892141325111248,0.17679466043130498,3.5258620689655173,2.2065217391304346,3.3582089552238807,2.2,1.3193403298350828,0.8402088772845953,0.21861151058928538
atr_ratio_5,5,0.23452780017107253,0.21856287248839548,-0.08051484650698476,0.1792177351056213,0.02329730487160593,0.018479143221911923,0.02234733129119231,0.01804969006032161,0.004818161649694008,0.0010416666666666667,0.21856287248839548
m5_open_30m_range,10,0.2568102769571546,0.2182184013736548,-0.05776537978105147,0.14481981247871048,0.020145941441736228,0.015140694764288597,0.019077104042044785,0.014888882264177556,0.005005246677447631,0.8402088772845953,0.2182184013736548
downside_volatility_20,5,0.18236287226619843,0.21640342414541747,-0.05631433219112521,0.16811663468525015,0.011866857502731473,0.009507812338174416,0.011342099969618139,0.009201142056200463,0.002359045164557056,0.0046875,0.21640342414541747
m5_close_30m_range,20,0.13356883145643514,0.21607459582996255,-0.009482087901618261,0.13841362558621478,0.005723291696644514,0.004660878697835798,0.005505345275017646,0.004416504912779374,0.0010624129988087158,0.8446194225721785,0.21607459582996255
atr_ratio_20,10,0.2585600847554871,0.21469684284327395,-0.08215422467584513,0.14412309161323608,0.02209016761292709,0.018460931067105033,0.021156125811115655,0.01858969077691129,0.003629236545822055,0.004699738903394256,0.21469684284327395
m5_intraday_max_return,10,0.16979952696826064,0.21378537573549183,-0.1050904628892151,0.2045000169180903,0.0173955581260321,0.010933588664648405,0.01697748032809952,0.010696417847222795,0.006461969461383695,0.8402088772845953,0.21378537573549183
drawdown_20,10,-0.19627035913587243,-0.21321006174697898,0.07558464352646649,-0.15232141021774967,-0.04775539872253344,-0.028775301735868907,-0.043160959514246984,-0.028161020120235088,-0.018980096986664533,0.004699738903394256,0.21321006174697898
m5_bar_range_max,20,0.2604277661781202,0.21177143111774457,-0.08166714192472485,0.15124761978621923,0.012760513570588009,0.009581922928326866,0.012378500887457324,0.009751866958710042,0.003178590642261142,0.8446194225721785,0.21177143111774457
bollinger_width,5,0.22309676091685635,0.21156394332681422,-0.07975717040943672,0.17335300934190287,0.1467607824466785,0.11242010023691952,0.14034549260606907,0.1100845846439994,0.034340682209758985,0.0046875,0.21156394332681422
